"Job Title","Company","Location","Posted Via","Source Site","Date Posted","Job URL","Remote","Salary","Job Type","Description"
"Frontend Developer","Reposebay Human Resource Limited","Lagos, LA, NG","","indeed","2026-01-30","https://ng.indeed.com/viewjob?jk=79046da2e46aa191",True,"","fulltime","Human Resource Limited offers HR consulting and career development services through a robust technology web application that is powered by Artificial intelligence (AI). This solution has helped prepare young graduates for the world of work and has helped MSMEs afford professional HR consultants to provide services in workforce management, employee engagement, retention, standard operating procedures, and workplace policies. Our all-inclusive solution has also helped job seekers get the right employment and business owners get the best out of their employees.

We are recruiting to fill the position below:

**Job Position: Frontend Developer**

**Job Location:** Lagos (Remote)  
Employment Type: Full-time

  

**Position Summary**

* We are seeking a passionate Frontend Developer to create seamless, engaging, and accessible user experiences across web and mobile platforms.
* You will translate designs into high-quality, responsive interfaces and collaborate with designers, backend developers, and product teams to deliver features on time and to a high standard.

**Key Responsibilities**

* Creating seamless and engaging user experiences across web and mobile platforms.
* Building responsive, accessible, and visually appealing interfaces using HTML, CSS / Tailwind CSS, JavaScript, TypeScript, React, Next.js, and React Native.
* Consuming and integrating RESTful APIs to enable smooth interaction between frontend interfaces and backend services.
* Developing, maintaining, and improving the user interface (UI) for both new and existing applications.
* Translating UI/UX designs into functional, high-quality components for web and mobile applications.
* Ensuring cross-browser and cross-device compatibility by building tools and components that enhance overall interaction and performance.
* Managing and optimizing the frontend development workflow, including version control, code organization, and build processes.
* Implementing SEO best practices to enhance discoverability and user engagement.
* Identifying, debugging, and resolving UI-related issues while ensuring product usability and quality.
* Maintaining, enhancing, and designing user-friendly interfaces for all Reposebay products to ensure consistency and a positive user experience.
* Collaborating with designers, backend developers, and product teams to ensure thetimely delivery of high-quality features.
* Any other duties assigned by management.

**Qualifications**

* Bachelor’s degree in Computer Science, Engineering, Design + Tech, or a related field (or equivalent practical experience).
* 3+ years of frontend development experience in web and/or mobile environments.
* Proficiency with HTML5, CSS3 (Tailwind CSS preferred), JavaScript/TypeScript, and modern frameworks (React, Next.js, React Native).
* Experience consuming RESTful APIs and integrating with backend services.
* Familiarity with state management (e.g., Redux, Zustand) and component-driven development.
* Knowledge of responsive design, accessibility (WCAG), and cross-browser compatibility.
* Strong debugging and problem-solving skills; excellent attention to detail.
* Familiar with version control (Git) and modern collaboration workflows.
* Comfort with build tools and modern frontend tooling (webpack, Vite, Babel, ESLint, Prettier).

Preferred Qualifications:

* Experience with server-side rendering (Next.js) and static site generation.
* Exposure to testing frameworks (Jest, React Testing Library) and end-to-end testing (Cypress).
* Experience with mobile optimization and React Native deployment.
* Familiarity with design systems, UI component libraries, and scalable UI architecture.
* Knowledge of SEO considerations for modern SPAs and performance budgeting.
* Experience contributing to open-source projects or design-system governance.

Competencies:

* UX-minded: strong sense of aesthetics and usability.
* Collaborative: effective communication with cross-functional teams.
* Proactive: ownership of code quality, performance, and deliverables.
* Adaptable: comfortable in a fast-paced, iterative environment.
* Detail-oriented: thorough in testing and accessibility.

**Salary Range**  
Negotiable

**Method of Application**  
Interested and qualified candidates should send their updated CV to: **celestina@reposebayhr.com** using the Job Position as the subject of the email**.**

**Note:** Only qualified candidates will be contacted...."
"Full Stack Developer","PORTREC RESOURCING","Lagos, LA, NG","","indeed","2026-01-29","https://ng.indeed.com/viewjob?jk=cf1f2b42d6a49209",False,"","fulltime","### **Job summary**

A reputable consulting firm based in the heart of Lagos is urgently recruiting for the service of an experienced Full Stack Developer.

Min Qualification: Degree Experience Level: Entry level Experience Length: 2 years

### **Job descriptions & requirements**

**Responsibilities:**

* Developing front-end website architecture.
* Designing user interactions on web pages.
* Developing back-end website applications.
* Creating servers and databases for functionality.
* Ensuring cross-platform optimization for mobile phones.
* Ensuring the responsiveness of applications.
* Working alongside graphic designers for web design features.
* Seeing through a project from conception to finished product.
* Designing and developing APIs.
* Meeting both technical and consumer needs.
* Staying abreast of developments in web applications and programming languages.

  

**Requirements:**

* Degree in computer science or in any relevant field.
* Minimum of 2-3 years' experience
* Strong organizational and project management skills.
* Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
* Familiarity with JavaScript frameworks such as Angular JS, React, and Amber.
* Proficiency with server-side languages such as Python, Ruby, Java, PHP, and Net.
* Familiarity with database technology such as MySQL, Oracle, and MongoDB.
* Excellent written and verbal communication skills.
* Good problem-solving skills.
* Attention to detail.

Javascript css html python PostgreSQL MySQL..."
"Full Stack Engineer","EdimaBenEkpo","Lagos, LA, NG","","indeed","2026-01-30","https://ng.indeed.com/viewjob?jk=41bde7a6361ce7d0",True,"","fulltime","E

**Full Stack Engineer**
=======================

**EdimaBenEkpo**
----------------

**Engineering & Technology**
----------------------------

Yesterday

New

Lagos Full Time Confidential

### **Share link**

Share on WhatsApp Share on LinkedIn Share on Facebook Share on Twitter

Share via SMS

Min Qualification:

### **Job descriptions & requirements**

We are looking for a Full-Stack Developer to support, enhance, and scale our e-commerce

digital platform built on CS-Cart, with integrated iOS/Android mobile applications. The ideal

candidate will be hands-on with both backend and frontend technologies, capable of driving

technical initiatives, and collaborating with the team to continuously improve our platform.

**Key Responsibilities**

* Maintain, optimize, and scale the CS-Cart based e-commerce platform.

* Integrate and support mobile applications (iOS/Android) connected to the platform.

* Work with PHP, MySQL, and React Native to deliver robust solutions.

* Quickly learn and adapt to CS-Cart (or other e-commerce platforms) within 5 days if not

already experienced.

* Collaborate with cross-functional teams to identify pain points and propose improvements.

* Drive all technical needs of the platform, ensuring scalability, performance, and security.

* Work effectively under pressure and within sprint timelines.

* Follow software engineering best practices: clean code, documentation, peer reviews, and

adherence to professional ethics.

**Requirements**

* Strong experience with PHP and MySQL.

* Proficiency in React Native for mobile app development.

* Prior experience with CS-Cart or willingness to learn quickly (within 5 days).

* Familiarity with other e-commerce platforms (Magento, Shopify, WooCommerce, etc.) is an

advantage.

* Ability to work in a hybrid environment (onsite + remote).

* Strong problem-solving skills and ability to work under pressure.

* Excellent communication skills and willingness to contribute suggestions for improvement.

* Commitment to software engineering standards and professional work ethics.

**Work Arrangement**

* Hybrid model: Combination of onsite and remote work.

* Flexibility based on project needs and performance.

**What We Value**

* Initiative and ownership of technical challenges.

* Team collaboration and open communication.

* Continuous improvement mindset.

* Professional integrity and adherence to best practices.

  

<..."
"Full-Stack Software Developer","Sophia ERP Limited","Lagos, LA, NG","","indeed","2026-01-26","https://ng.indeed.com/viewjob?jk=6b28bb61e6060dc9",False,"","fulltime","### **Job summary**

We are seeking Mid-Level Software Developers (with a minimum of 2 years of post-NYSC experience) to join our growing team and contribute to the design, development, and maintenance of live production systems. The ideal candidate will work closely with cross-functional teams to deliver high-quality, scalable software solutions and play an active role in improving existing applications. This is an on-site position based in mainland Lagos.

Min Qualification: Degree Experience Level: Entry level Experience Length: 2 years

### **Job descriptions & requirements**

**Responsibilities:**

  

* Develop and maintain web & mobile applications using modern technologies.
* Build responsive user interfaces.
* Implement APIs and backend logic.
* Work with relational databases to store and retrieve application data.
* Integrate frontend components with backend services.
* Debug issues, fix bugs, and improve application performance.
* Follow best practices in writing clean, readable, and maintainable code.
* Collaborate with team members and participate in code reviews.
* Learn and adapt to new tools, technologies, and development standards.
* Documentation, Training, and Project Presentation.

  

**Requirements:**

* Minimum of 2 years of post-NYSC experience working on live or production projects.
* Strong knowledge in HTML, CSS, jQuery, and React JS.
* Familiarity with API development, VB.NET, C#, and .NET Core.
* Working knowledge of SQL and relational databases (MS SQL Server preferred).
* Knowledge of Git or other version control systems.
* Exposure to real-world application deployment or maintenance.
* Ability to follow requirements and implement features with guidance.
* Willingness to work on-site in Lagos.
* Strong willingness to learn and grow as a developer...."
"Intermediate Flutter Developer","ConnectNigeria","Lagos, LA, NG","","indeed","2026-01-28","https://ng.indeed.com/viewjob?jk=8c4fbf15e1851137",False,"","fulltime","**Job Summary:**

The Intermediate Flutter Developer is responsible for building, improving, and maintaining mobile applications using Flutter for Android and iOS.

**Key Responsibilities:**

* Develop and maintain Flutter mobile applications.
* Work with designers and backend developers to build features.
* Fix bugs and improve app performance.
* Test and deploy updates.
* Ensure clean, scalable, and maintainable code.

**Qualifications:**

* Bachelor’s degree in Computer Science or related field.
* 2–4 years of experience in mobile app development.
* Strong experience with Flutter and Dart.
* Experience integrating APIs and backend services.

**Preferred Skills:**

* Experience with Firebase or REST APIs.
* Knowledge of Git and version control.
* UI/UX awareness and performance optimisation skills.

Job Type: Full-time..."
"Junior Mobile Application Developer","Dufil Prima Foods Plc","Lagos, LA, NG","","indeed","2026-01-29","https://ng.indeed.com/viewjob?jk=053c2e8c298f3239",False,"","fulltime","### **Job summary**

We are seeking suitably qualified professionals to join our growing team as Junior Mobile Application Developer (React Native). The successful candidates will demonstrate strong technical capabilities in developing scalable, high-performance digital solutions and the ability to work collaboratively across teams to deliver quality outcomes.

Min Qualification: Degree Experience Level: Entry level Experience Length: 2 years Working Hours: Full Time

### **Job descriptions & requirements**

**Responsibilities:**

* Develop and maintain mobile applications that run smoothly across multiple platforms.
* Work closely with designers to ensure usability, performance, and visual consistency.
* Integrate backend services and APIs while maintaining data protection standards.
* Identify and fix bugs, optimize performance, and enhance overall app stability.
* Support automated build, deployment, and cloud integration processes.

**Requirements:**

* Bachelor’s degree or HND in IT, Computer Science, Mobile Development, or related fields.
* At least 2 years of practical experience in mobile app development.
* Proficiency in React Native and modern JavaScript.
* Knowledge of RESTful services, GraphQL, and cloud-based deployments.
* Experience with testing tools, debugging techniques, and CI/CD pipelines.
* Ability to work both independently and collaboratively within project teams.

  

**Location:** Nigeria | Openings: 1..."
"Mobile App Developer","E-HOTELS TRANSIT BNB LIMITED","Lagos, LA, NG","","indeed","2026-01-29","https://ng.indeed.com/viewjob?jk=fcfbd4c376f16a23",False,"","fulltime","### **Job summary**

We are seeking a creative and skilled Mobile App Developer to design, build, and maintain high-quality mobile applications. The ideal candidate will be responsible for developing apps across Android and iOS platforms, ensuring functionality, performance, and user experience. This role requires technical expertise, problem-solving skills, and the ab

Min Qualification: Degree Experience Level: Entry level Experience Length: 2 years Working Hours: Full Time

### **Job descriptions & requirements**

**Responsibilities:**

* Design, develop, and maintain mobile applications for Android and iOS platforms
* Write clean, efficient, and maintainable code using relevant frameworks (Flutter, React Native, Swift, Kotlin, etc.)
* Collaborate with designers and product managers to translate UI/UX designs into functional applications
* Integrate APIs, third-party services, and backend systems
* Test, debug, and optimize applications for performance and scalability
* Ensure apps comply with security and data protection standards
* Publish applications to Google Play Store and Apple App Store
* Stay updated with emerging mobile technologies and industry trends
* Provide ongoing support and updates for existing applications
* Work closely with QA teams to ensure high-quality deliverables

  

**Requirements:**

* Bachelor’s degree in Computer Science Engineering or related field (preferred)
* Proven experience as a Mobile App Developer or in a similar role
* Strong knowledge of mobile frameworks (Flutter React Native, Swift, Kotlin, or Xamarin)
* Experience with RESTful APIs and backend integration
* Familiarity with version control systems (Git)
* Understanding of mobile UI/UX principles
* Strong problem-solving and analytical skills
* Ability to work independently and in a team environment..."
"React App Developer - Lagos","Synkd.life","Lagos, LA, NG","","indeed","2026-01-25","https://ng.indeed.com/viewjob?jk=9a4c4548aec6dd4b",True,"","contract","Synkd, is a leading platform that looks to help with work life balance and upskill users digitally via a single platform.

Originally a marketing platform (marketing.synkd.life) where customers can run cross channel campaigns, we have recently shifted to help users and companies digitally transform. Synkd counts over 4500 premium publishers, Global advertisers and their agencies as customers.

We are looking to hire a **REACT Native Developer** to work on rolling **SOW/projects** and help improve the platform. This is NOT a weekly assignment

This is 100% remote role and using one of our company development machines via **anydesk**. You will not get repo or be able to download/copy code.

If this is not for you, please do not apply

**Key responsibilities:**

* Test phase: get old App working and introduce/update API
* Upgrade the App and future proof UI
* Add more native features

**Desired skills and experience (MUST be available Full Time for one month)**

* 5 years native app development for iOS an Android. iOS Watch experience a bonus
* 2 years React, Angular, Typescript, bootstrap experience
* Backend use of GraphQL with a Prisma Schema and Node.JS
* Database experience of Mongo DB and PostGreSQL
* Clear communicator and excellent English
* Works well in a team but also comfortable using own initiative
* Resilient and able to function under pressure and deliver high standards under tight deadlines

Job Type: Contract

Pay: ₦150,000.00 per week

Experience:

* graphql: 3 years (Preferred)
* React Native: 3 years (Preferred)
* integrated native modules (Java/Swift/Objective-C): 3 years (Preferred)
* written custom native code (Java/Swift/Objective-C): 3 years (Preferred)
* State management (Redux, Zustand, Recoil, Context API): 3 years (Preferred)..."
"SENIOR FLUTTER / MOBILE DEVELOPER","BEDEOBAS AGRICULTURAL MKT VHUB","Lagos, LA, NG","","indeed","2026-01-28","https://ng.indeed.com/viewjob?jk=6520ce5d4d6fb061",False,"","parttime","We are looking for a **Senior flutter / mobile Developer.**

This is a long term opportunity which would require you to work on various flutter apps that we want to develop mainly for Android.

We already have a number of apps in very early development that you would need to pick up and develop further.

Apps we have are related to an authenticator, communication app, time tracking, voice “wake up”, and some other smaller apps.

**Important**: To **qualify** please **fill in the form** that is available at the bottom of this job spec. Candidates who don’t feel in the form will not be considered for the role.

What is the minimum **requirement**?

We specify minimum requirements which means you must satisfy the criteria in order to be considered for the role. Please do not apply if you don’t meet the minimum requirements.

**Minimum requirements:**

● Senior flutter Developer

● SQL Server

● Version control with Git

● APIs

● Knowledge of best practices and standards.

● Excellent English

What are **preferred requirements**?

We specify preferred requirements which are not mandatory for the role but satisfying them will provide you a greater chance to be considered for this role.

Preferred Requirements:

● Working with different time zones

● Voice recognition / Wake Word

● AI APIs

● Usability

To **apply for this** role **you must fill in this form (link below):**

https://forms.gle/68WJwFVQyC8dvPrN6

Job Type: Part-time

Pay: ₦2,000.00 per hour

Expected hours: 5 – 10 per week

Application Question(s):

* HAVE YOU FILLED THE FORM ATTATCHED?..."
"Senior Mobile React Developer","Epevs Studio Nigeria Ltd.","Lagos, LA, NG","","indeed","2026-01-28","https://ng.indeed.com/viewjob?jk=8fef47f1b5ae2432",False,"","fulltime","Job Title: Senior Mobile React Developer

Location: Lagos, Nigeria(Hybrid)

Employment Type: Full-Time

**About Us**

**Epevs Studio Nigeria Limited** is a forward-thinking technology company committed to delivering innovative and user-centric digital solutions. We specialize in mobile app development, aiming to improve lives through seamless technology.

**SimpliRide** is a fast-growing ride-hailing company committed to transforming urban mobility across Nigeria. Our mission is to provide safe, reliable, and affordable transportation solutions that seamlessly connect riders and drivers through intuitive mobile technology. We believe in making everyday travel simpler and more accessible, while supporting drivers with tools that enhance their productivity and earnings.

As a subsidiary of **Epevs Studio Nigeria Limited**, SimpliRide benefits from a strong foundation in innovative software development and product excellence. We're building a mobility platform that doesn’t just move people, it moves communities forward.

As we scale, we are looking to expand our team with a **Senior Mobile React Developer** who is passionate about software quality, experienced in building robust testing frameworks, and committed to ensuring exceptional user experiences across our platforms.

**Job Summary**

As a **Senior Mobile (React Native) Developer**, you will play a critical role in designing, building, and scaling SimpliRide’s mobile applications that power both **customer and driver experiences**. You will lead the development of high-quality, performant, and scalable mobile solutions using **React Native**, ensuring seamless functionality across **iOS and Android** platforms.

In this role, you will collaborate closely with the **product manager, designers, and backend engineers** to translate business and user requirements into intuitive, reliable, and high-performing mobile applications. Beyond hands-on development, you will provide **technical leadership**, contribute to architectural decisions, mentor junior developers, and champion best practices across the mobile development lifecycle.

This role goes beyond writing code, it is about **owning mobile product quality, performance, and evolution**, and shaping how SimpliRide’s mobile platforms are built and improved over time.

**Key Responsibilities**

As a Senior Mobile (React Native) Developer, you will:

* Design, build, and maintain **robust, scalable React Native applications** for iOS and Android.
* Architect clean, reusable, and maintainable codebases aligned with industry best practices.
* Develop **high-quality, responsive, and user-friendly interfaces** using React Native components and styling systems.
* Ensure **pixel-perfect implementation** of designs in line with UI/UX specifications and brand guidelines.
* Optimize application performance, responsiveness, stability, and scalability.
* Collaborate cross-functionally with **product, design, and backend teams** to deliver user-centric solutions.
* Integrate and troubleshoot APIs, third-party services, and native modules where required.
* Conduct code reviews and provide technical guidance to maintain high engineering standards.
* Write and maintain **technical documentation**, implementation guides, and feature specifications.
* Build prototypes or proof-of-concepts to validate new product ideas and features.
* Support testing, deployment, and release processes for App Store and Google Play.
* Maintain, refactor, and continuously improve existing mobile applications.
* Stay up-to-date with emerging mobile technologies, frameworks, and best practices.

**Requirements**  
**Core Requirements**

* 5+ years of professional experience in **mobile application development**, with strong hands-on experience in **React Native**.
* Strong proficiency in **JavaScript**; **TypeScript experience is highly preferred**.
* Solid understanding of the **mobile application development lifecycle**, from design and development to testing, deployment, and publishing.
* Experience with **mobile testing and debugging tools** (e.g., Jest, Detox, Xcode, Android Studio).
* Strong knowledge of **UI/UX principles**, mobile layout aesthetics, and accessibility considerations.
* Experience integrating **RESTful APIs and/or GraphQL** with backend services.
* Familiarity with **native modules**, third-party SDKs, and platform-specific integrations (iOS/Android).
* Proficiency with **Git** and experience working with **CI/CD pipelines** for mobile applications.
* Strong problem-solving skills with the ability to debug complex issues efficiently.
* Ability to work effectively in a **fast-paced, agile environment**.

**Preferred / Nice-to-Have**

* Prior experience working on **consumer-facing or marketplace apps** (ride-hailing, logistics, fintech, etc.).
* Experience with performance monitoring, crash reporting, and analytics tools.
* Knowledge of app security best practices.
* BSc in Computer Science, Engineering, or a related discipline (or equivalent practical experience).

**What We Offer**

* Competitive salary and benefits package.
* Flexible work arrangements subject to operational need.
* Opportunity to work on exciting and impactful projects with a talented team.
* Professional development support, including training and certifications.

If you’re ready to make an impact and advance your career in a collaborative and fast-paced environment, apply today!

How to Apply

Please send your resume and a brief cover letter to careers@simpliride.com or apply through our careers page.

Job Types: Full-time, Permanent..."
